OBJECTID_12,Cod_Favela,Nome,Cod_Comp,Complexo,UPP,Pop_SABR,Dom_SABR,Fonte,Porte,Bairro,RA,RP,AP,Programa_Urbanizacao_1,Programa_Urbanizacao_2,Programa_Urbanizacao_3,Contagem_Domicílios,Ano_Contagem_Domicílios,PROAP,PROAP_Panoramas,PROAP_MRP,PROAP_Fichas,Grau_Urbanizacao,Urbanizadas_DEC36388_2012,Urbanizáveis_DEC36388_2012,AEIS_Número,AEIS_Data,AEIS_Número_Data,Denominação_AEIS,Observações_AEIS,Validação_AEIS_SMH,Ciclo_Morar_Carioca,Observações_Ciclos,Agrupamento_Número,Agrupamento_Nome,Agrupamento_Número_Nome
1829,917,Comunidade Campo da Paz,0,Isolada,N,538,151,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1830,916,Caminho do Fincão,0,Isolada,N,76,23,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1,5797,14/10/2014,5797/2014,Setor 1 - Colônia Juliano Moreira,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
1831,915,Caminho da Cachoeira,0,Isolada,N,166,38,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1,5797,14/10/2014,5797/2014,Setor 1 - Colônia Juliano Moreira,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
1832,914,Estrada do Rio Pequeno (próxima à rua 1),0,Isolada,N,248,71,IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1833,913,Avenida Menezes Cortes (com Estrada dos Três Rios),0,Isolada,N,50,17,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1834,912,"Avenida Menezes Cortes, nº 12",0,Isolada,N,0,0, ,Sem informação,115,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1835,911,Antiga Company,2083,Jacarezinho,Jacarezinho,24,7,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,51,Méier,Méier,3,0,0,0,0, ,,,, ,7,0,1, , , , , ,0,0, , , , 
1836,910,"Engenheiro Alberto Moas, próxima ao nº 75",2083,Jacarezinho,Jacarezinho,72,22,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,51,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1837,908,Regata,0,Isolada,N,662,253,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,127,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1838,907,"Estrada de Jacarepaguá, nº 2.679",0,Isolada,N,36,13,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,127,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1839,906,Nossa Senhora da Apresentação,0,Isolada,N,462,142,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,76,Irajá,Madureira,3,2,0,0,0, ,,,, ,1,1,0,2924,17/11/1999,2924/1999,Nossa Senhora da Apresentação,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,0, , , , 
1840,905,Estrada Pedro Borges de Freitas (próxima ao nº 323),0,Isolada,N,155,52,IBGE - Censo Demográfico 2010,< 100 domicílios,76,Irajá,Madureira,3,0,0,0,0, ,,,, ,4,0,0, , , , ,Limite da favela tangente ao limite da AEIS 2 - Vila São Jorge (L 5800/14),0,0, , , , 
1841,904,Estrada de Inhoaíba (próxima Lt 02 - Qd 32),0,Isolada,N,276,76,IBGE - Censo Demográfico 2010,< 100 domicílios,146,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1842,903,Parque Everest (Rua Arquibui),2036,Parque Everest,N,1267,314,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , ,Favela muito próxima da AEIS Complexo do Alemão (L4453/06),0,0, , , , 
1843,902,Casarão,0,Isolada,N,83,25,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1844,901,Linha Amarela (acesso à Av. Automóvel Clube),2039,Rua Lagoa Redonda,N,101,31,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1845,900,"Rua Dona Emilia, nº 5",0,Isolada,N,181,62,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1846,899,Granja Avícola Pastoril,0,Isolada,N,131,41,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1847,898,Bairro ABC,0,Isolada,N,165,47,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1848,897,Travessa dos Vieiras,0,Isolada,N,69,22,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1849,896,"Estrada do Mato Alto, nº 5.078",0,Isolada,N,118,37,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1850,894,Estrada da Cachamorra,2144,Largo do Corrêa 1,N,784,238,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1851,893,"Estrada do Magarça, nº 2.823",2143,Estrada do Magarça,N,2070,664,IBGE - Censo Demográfico 2010,> 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1852,892,Avenida Silvério,2143,Estrada do Magarça,N,396,114,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1853,891,Avenida Silvério (Rua Palhano),2143,Estrada do Magarça,N,216,70,IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1854,1108,Cajueiro,0,Isolada,N,374,115,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,150,Santa Cruz,Santa Cruz,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1855,1107,Travessa Claudio Franco,0,Isolada,N,26,8,IPP,< 100 domicílios,150,Santa Cruz,Santa Cruz,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1856,1105,B-1,0,Isolada,N,88,25,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,53,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1857,1104,Higienópolis,0,Isolada,N,1333,423,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,149,Santa Cruz,Santa Cruz,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1858,1103,Rua Vale do Paraíso,0,Isolada,N,116,37,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,123,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1859,1102,Gouveia,0,Isolada,N,74,24,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,148,Santa Cruz,Santa Cruz,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1860,1101,"Estrada do Boiúna, nº 1546",0,Isolada,N,64,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,122,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1861,1100,"Rua Pereiro, nº 471",0,Isolada,N,64,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,137,Realengo,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1862,1099,"Rua Camatia, nº 241",0,Isolada,N,127,39,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,121,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1863,1098,"Rua Albano, nº 252",2095,Fazenda Mato Alto,N,297,100,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,124,Jacarepaguá,Jacarepaguá,4,0,6,0,40,2015,,,, ,4,0,1, , , , , ,0,2, ,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
1864,1096,"Rua Silva Teles, nº 110",0,Isolada,N,378,119,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,37,Vila Isabel,Tijuca,2,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1865,1095,"Rua Coqueiros, nº 10",0,Isolada,N,119,41,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,14,Santa Teresa,Centro,1,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1866,1094,Rua José Eugênio,0,Isolada,N,128,53,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,10,São Cristóvão,Centro,1,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1867,1093,Portelinha,2147,Marlene,Jacarezinho,112,39,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,51,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1868,1092,Vila União (RA - Méier),0,Isolada,N,195,57,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,51,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1869,1090,Grefisa,2145,Parque Proletário Águia de Ouro,N,246,107,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,54,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , ,O limite da favela tange o limite da AEIS Água de Ouro (L 3051/00),0,0, , , , 
1870,1089,Estrada Velha da Pavuna - Linha Amarela,0,Isolada,N,124,44,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,50,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1871,1088,Rua Armando Godói,0,Isolada,N,134,44,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,50,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1872,1087,Estrada Velha da Pavuna - Rua Sérgio Silva,2037,Parque Nova Maracá,N,98,32,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,55,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1873,1086,Avenida dos Campeões - Praça Elói de Andrade,0,Isolada,N,154,47,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,41,Ramos,Ramos,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1874,1085,Castelo de Lucas,0,Isolada,N,62,21,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,47,Vigário Geral,Penha,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1875,1084,"Rua Venâncio Ribeiro, nº 475",0,Isolada,N,176,61,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,66,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1876,1083,Rua José Braga,2095,Fazenda Mato Alto,N,58,18,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,123,Jacarepaguá,Jacarepaguá,4,0,6,0,29,2015,,,, ,4,0,1,LC70,06/07/2004,LC70/2004,"Caminho do Waldemar; Morro da Reunião; Caxangá; Ladeira da Reunião e Rua Arago",A  AEIS extrapola o limite da favela estabelecido pelo SABREN.,1,2, ,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
1877,1081,Comunidade do Ecoponto,2126,Jardim Nossa Senhora das Graças,N,112,32,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1878,1078,Avenida do Corretor,0,Isolada,N,474,149,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,6,0,0, ,,,, ,4,0,0, , , , , ,0,2,Necessário Reassentamento de edificações situadas sobre a FNA,00,Complexo Fazenda Coqueiro,00 - Complexo Fazenda Coqueiro
1879,1077,Avenida Canal II,0,Isolada,Maré,12,5,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1880,1076,Avenida Canal,0,Isolada,Maré,319,105,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1881,1075,Comunidade Vila do Pinheiro,0,Isolada,Maré,388,108,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,157,Maré,Ramos,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1882,1074,"Rua São Paulo, nº 114",0,Isolada,São João,28,8,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,60,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1883,1073,"Rua Valentim da Fonseca, nº 57",0,Isolada,São João,41,13,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,60,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1884,1072,Vila Casarão,0,Isolada,N,263,93,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,57,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1885,1071,Pousada dos Cavalheiros,0,Isolada,N,67,18,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,143,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1886,1070,Recanto dos Pássaros,0,Isolada,N,13,4,IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1887,1069,Vila Santa Teresa,2071,Parque Criança Esperança,N,159,53,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,106,Anchieta,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1888,1067,Drª. Maria Estrela,0,Isolada,N,124,38,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,141,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1889,1066,Vila Esperança (RA - Realengo),2113,Vila do Vintém,N,414,141,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,139,Realengo,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1890,1065,Travessa do Jagunço,2074,Araguatins,N,85,26,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,114,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1891,1064,Deus é Vida,2071,Parque Criança Esperança,N,229,76,IBGE - Censo Demográfico 2010,< 100 domicílios,106,Anchieta,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1892,1063,Vida Nova,0,Isolada,N,793,227,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,111,Pavuna,Pavuna,3,0,0,8,0, ,,,, ,3,0,0,5799,24/10/2014,5799/2014,Vida Nova,A AEIS não abrange toda a área da favela.,1,0, , , , 
1893,1061,Barbante (Av. Sargento de Milícias),0,Isolada,N,258,70,IBGE - Censo Demográfico 2010,< 100 domicílios,114,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1894,1062,"Rua Embaú, nº 425",2079,Parque Unidos,N,84,23,IBGE - Censo Demográfico 2010,< 100 domicílios,114,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1895,1060,Caninaré,2061,Bairro Nossa Senhora das Graças,N,426,141,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,93,Ilha do Governador,Ilha do Governador,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1896,1059,Vila Porta do Céu,2122,Vila Porta do Céu,N,584,187,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,141,Bangu,Bangu,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1897,1058,Estrela do Sul,2079,Parque Unidos,N,605,194,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,158,Pavuna,Pavuna,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1898,1057,Vila Padre Angelo,2041,Dois de Maio,N,80,23,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,61,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1899,1056,Comunidade da Favelinha,0,Isolada,N,1855,609,IBGE - Censo Demográfico 2010,> 500 domicílios,142,Bangu,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1900,1055,"Rua Álvaro Ramos, nº 535",0,Isolada,N,66,23,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,20,Botafogo,Zona Sul,2,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1901,1054,"Rua Álvaro Ramos, nº 499",0,Isolada,N,132,46,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,20,Botafogo,Zona Sul,2,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1902,1053,São Diogo,0,Isolada,Providência,209,64,IBGE - Censo Demográfico 2010,< 100 domicílios,3,Portuária,Centro,1,0,0,0,128, ,,,, ,4,0,1,6026,26/11/2015,6026/2015,São Diogo,"A AEIS não abrange toda a área da favela. Em contrapartida, abrange áreas que estão fora do limite estabelecido pelo SABREN.",1,0, , , , 
1903,1052,Vila do Mexicano,0,Isolada,Caju,326,89,IBGE - Censo Demográfico 2010,< 100 domicílios,4,Portuária,Centro,1,0,6,0,224,2012,,,, ,1,0,1,5745,26/05/2014,5745/2014,Vila do Mexicano,O polígono de AEIS é ligeiramente diferente do limite da favela estabelecido pelo SABREN.,1,2, ,01,Barreira do Vasco,01 - Barreira do Vasco
1904,1051,Vila da Paz (RA - Méier),0,Isolada,N,306,88,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,57,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1905,1050,Vila Angela,2041,Dois de Maio,N,186,53,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,61,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1,3277,24/09/2001,3277/2001,Dois de Maio,A  AEIS extrapola o limite da favela estabelecido pelo SABREN.  A favela é abrangida pela AEIS Dois de Maio (L 3277/01),1,0, , , , 
1906,1049,Comunidade do Pedrosa,2038,Parque União de Del Castilho,N,447,140,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,53,Inhaúma,Inhaúma,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1907,1048,"Rua Jaú, nº 25",0,Isolada,N,229,83,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,62,Méier,Méier,3,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1908,1047,A. M. São Sebastião,2090,Barão,N,69,18,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,124,Jacarepaguá,Jacarepaguá,4,0,6,0,0, ,,,, ,4,0,1, , , , , ,0,2,Projeto não desenvolvido,24,Fazenda Mato Alto,24 - Fazenda Mato Alto
1909,1044,Vila Taboinha,0,Isolada,N,476,158,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,131,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1910,1043,"Estrada de Jacarepaguá, nº 6.590",0,Isolada,N,108,35,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,116,Jacarepaguá,Jacarepaguá,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1911,1039,"Estrada do Catonho, nº14",0,Isolada,N,31,9,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,137,Realengo,Bangu,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1912,1038,A.M. Amigos dos Teixeiras,0,Isolada,N,747,240,IPP com base em IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,139,Realengo,Bangu,5,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1913,1036,Vista da Pedra,0,Isolada,N,100,39,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,130,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1914,1035,"Rua Paulo Roberto Matheus, Lote 7",0,Isolada,N,75,24,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,130,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1915,1034,Da Curva,0,Isolada,N,83,23,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,131,Barra da Tijuca,Barra da Tijuca,4,0,0,0,0, ,,,, ,4,0,0, , , , , ,0,0, , , , 
1916,1033,"Estrada do Tingui, nº 2.370",0,Isolada,N,154,50,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1917,1032,Travessa Dois Irmãos,0,Isolada,N,128,42,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,151,Guaratiba,Guaratiba,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1918,1031,Rua do Sol,2125,Jardim Monteiro,N,72,22,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,144,Campo Grande,Campo Grande,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
1919,1030,Travessa Poeraba,0,Isolada,N,92,24,IPP com base em IBGE - Censo Demográfico 2010,< 100 domicílios,146,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1920,1029,"Rua Poerada, Lotes 39 e 40",0,Isolada,N,154,56,IBGE - Censo Demográfico 2010,< 100 domicílios,146,Campo Grande,Campo Grande,5,0,0,8,0, ,,,, ,3,0,1, , , , , ,0,0, , , , 
1921,1028,Flama,2135,Linha de Austin,N,476,139,IBGE - Censo Demográfico 2010,entre 101 e 500 domicílios,148,Santa Cruz,Santa Cruz,5,0,0,0,0, ,,,, ,4,0,1, , , , , ,0,0, , , , 
