OBJECTID_1,OBJECTID,Cod_Favela,Nome,Situacao,Cod_Comple,Complexo,Data_cadas,Cod_bairro,Bairro,Cod_RA,RA,Cod_RP,RP,Cod_AP,Pop_SABREN,Dom_SABREN,Fonte,UPP,COD_BAIRRO_,"SMH""RIO\02479574""Lim_Favelas__Area",ShapeSTArea,ShapeSTLength
20,20,907,"Estrada de Jacarepaguá, nº 2.679",2,0,Isolada,2009/01/15 00:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,36,13,IPP com base em IBGE - Censo Demográfico 2010,N,127,4590.67276318,4590.67276319,270.858834825805
21,21,906,Nossa Senhora da Apresentação,2,0,Isolada,2009/01/15 00:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,462,142,IBGE - Censo Demográfico 2010,N,076,14791.0948141,14791.09481408,900.46496566781
22,22,905,Estrada Pedro Borges de Freitas (próxima ao nº 323),2,0,Isolada,2009/01/15 00:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,155,52,IBGE - Censo Demográfico 2010,N,076,7433.45573121,7433.45787296,1172.05631014774
23,23,904,Estrada de Inhoaíba (próxima Lt 02 - Qd 32),2,0,Isolada,2009/01/15 00:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,276,76,IBGE - Censo Demográfico 2010,N,146,10136.3060382,10136.306038125,412.382582658191
24,24,903,Parque Everest (Rua Arquibui),1,2036,Parque Everest,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,1267,314,IBGE - Censo Demográfico 2010,N,054,2873.6584245,2873.65766975,446.193465693383
25,25,902,Casarão,2,0,Isolada,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,83,25,IPP com base em IBGE - Censo Demográfico 2010,N,054,1487.84359775,1487.84359778,158.118799267569
26,26,901,Linha Amarela (acesso à Av. Automóvel Clube),1,2039,Rua Lagoa Redonda,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,101,31,IPP com base em IBGE - Censo Demográfico 2010,N,054,2453.03046783,2453.031652445,238.917005281911
27,27,900,"Rua Dona Emilia, nº 5",2,0,Isolada,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,181,62,IPP com base em IBGE - Censo Demográfico 2010,N,054,3997.74471359,3997.744713595,408.431736571211
28,28,899,Granja Avícola Pastoril,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,131,41,IPP com base em IBGE - Censo Demográfico 2010,N,151,12553.9718477,12553.971847745,846.340546307892
29,29,898,Bairro ABC,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,165,47,IPP com base em IBGE - Censo Demográfico 2010,N,151,4879.91504119,4879.91504112,413.643852543613
30,30,897,Travessa dos Vieiras,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,69,22,IPP com base em IBGE - Censo Demográfico 2010,N,151,4256.96383002,4256.963830015,293.645030799541
31,31,896,"Estrada do Mato Alto, nº 5.078",2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,118,37,IPP com base em IBGE - Censo Demográfico 2010,N,151,9316.48219821,9316.48219807,433.258346453032
32,32,894,Estrada da Cachamorra,1,2144,Largo do Corrêa 1,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,784,238,IBGE - Censo Demográfico 2010,N,151,82981.1533696,82981.15336952,1742.01586793101
33,33,893,"Estrada do Magarça, nº 2.823",1,2143,Estrada do Magarça,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,2070,664,IBGE - Censo Demográfico 2010,N,151,137744.708596,137744.709521055,2286.86488176455
34,34,892,Avenida Silvério,1,2143,Estrada do Magarça,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,396,114,IBGE - Censo Demográfico 2010,N,151,21007.8393827,21007.839382535,852.688447574254
35,35,891,Avenida Silvério (Rua Palhano),1,2143,Estrada do Magarça,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,216,70,IBGE - Censo Demográfico 2010,N,151,13939.6569746,13939.656974725,564.53119159473
36,36,1108,Cajueiro,2,0,Isolada,2014/07/01 00:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,374,115,IPP com base em IBGE - Censo Demográfico 2010,N,150,138412.862797,138412.86022426,4976.06026236983
37,37,1107,Travessa Claudio Franco,2,0,Isolada,2013/08/09 00:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,26,8,IPP,N,150,1631.75430983,1631.754309785,235.588100033775
38,38,1105,B-1,2,0,Isolada,2011/02/08 00:00:00+00,53,Del Castilho,12,Inhaúma,3.4,Inhaúma,3,88,25,IPP com base em IBGE - Censo Demográfico 2010,N,053,3167.21882521,3167.218825315,553.069253059441
39,39,1104,Higienópolis,2,0,Isolada,2011/02/08 00:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,1333,423,IBGE - Censo Demográfico 2010,N,149,86789.1494851,86789.14781144,6258.21247607089
40,40,1103,Rua Vale do Paraíso,2,0,Isolada,2011/02/08 00:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,116,37,IPP com base em IBGE - Censo Demográfico 2010,N,123,4684.36909668,4684.369096615,403.209255979762
41,41,1102,Gouveia,2,0,Isolada,2011/02/08 00:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,74,24,IPP com base em IBGE - Censo Demográfico 2010,N,148,2591.90885334,2591.90885321,287.212416002848
42,42,1101,"Estrada do Boiúna, nº 1546",2,0,Isolada,2011/02/08 00:00:00+00,122,Taquara,16,Jacarepaguá,4.1,Jacarepaguá,4,64,21,IPP com base em IBGE - Censo Demográfico 2010,N,122,13373.6252768,13373.624941345,1057.60588800867
43,43,1100,"Rua Pereiro, nº 471",2,0,Isolada,2011/02/08 00:00:00+00,137,Jardim Sulacap,33,Realengo,5.1,Bangu,5,64,21,IPP com base em IBGE - Censo Demográfico 2010,N,137,7913.74576027,7913.744968865,671.74053843984
44,44,1099,"Rua Camatia, nº 241",2,0,Isolada,2011/02/08 00:00:00+00,121,Pechincha,16,Jacarepaguá,4.1,Jacarepaguá,4,127,39,IPP com base em IBGE - Censo Demográfico 2010,N,121,5026.21172494,5026.21172493,317.277702981643
45,45,1098,"Rua Albano, nº 252",1,2095,Fazenda Mato Alto,2011/02/08 00:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,297,100,IPP com base em IBGE - Censo Demográfico 2010,N,124,3487.02137957,3487.02137958,268.949355012623
46,46,1096,"Rua Silva Teles, nº 110",2,0,Isolada,2011/02/08 00:00:00+00,37,Andaraí,9,Vila Isabel,2.2,Tijuca,2,378,119,IPP com base em IBGE - Censo Demográfico 2010,N,037,3254.04177253,3254.04177251,290.623950991584
47,47,1095,"Rua Coqueiros, nº 10",2,0,Isolada,2011/02/08 00:00:00+00,14,Santa Teresa,23,Santa Teresa,1.1,Centro,1,119,41,IPP com base em IBGE - Censo Demográfico 2010,N,014,1952.6646563,1952.66465638,200.826237231543
48,48,1094,Rua José Eugênio,2,0,Isolada,2011/02/08 00:00:00+00,10,Imperial de São Cristóvão,7,São Cristóvão,1.1,Centro,1,128,53,IPP com base em IBGE - Censo Demográfico 2010,N,010,2070.36320416,2070.363204215,203.72922294363
49,49,1093,Portelinha,1,2147,Marlene,2011/02/08 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,112,39,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,051,2078.10556671,2078.105566725,198.17574003959
50,50,1092,Vila União (RA - Méier),2,0,Isolada,2011/02/08 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,195,57,IPP com base em IBGE - Censo Demográfico 2010,N,051,5092.92066857,5092.920668515,339.751739709863
51,51,1090,Grefisa,1,2145,Parque Proletário Águia de Ouro,2011/02/08 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,246,107,IPP com base em IBGE - Censo Demográfico 2010,N,054,23468.1358939,23468.136259595,851.198353360458
52,52,1089,Estrada Velha da Pavuna - Linha Amarela,2,0,Isolada,2011/02/08 00:00:00+00,50,Higienópolis,12,Inhaúma,3.4,Inhaúma,3,124,44,IPP com base em IBGE - Censo Demográfico 2010,N,050,2262.69892787,2262.698927855,272.511363835172
53,53,1088,Rua Armando Godói,2,0,Isolada,2011/02/08 00:00:00+00,50,Higienópolis,12,Inhaúma,3.4,Inhaúma,3,134,44,IPP com base em IBGE - Censo Demográfico 2010,N,050,2216.60206278,2216.60206279,268.26611107419
54,54,1087,Estrada Velha da Pavuna - Rua Sérgio Silva,1,2037,Parque Nova Maracá,2011/02/08 00:00:00+00,55,Engenho da Rainha,12,Inhaúma,3.4,Inhaúma,3,98,32,IPP com base em IBGE - Censo Demográfico 2010,N,055,1154.9799342,1154.97993416,140.534098423197
55,55,1086,Avenida dos Campeões - Praça Elói de Andrade,2,0,Isolada,2011/02/08 00:00:00+00,41,Ramos,10,Ramos,3.1,Ramos,3,154,47,IPP com base em IBGE - Censo Demográfico 2010,N,041,840.55825927,840.558259265,128.482031513466
56,56,1085,Castelo de Lucas,2,0,Isolada,2011/02/08 00:00:00+00,47,Parada de Lucas,31,Vigário Geral,3.5,Penha,3,62,21,IPP com base em IBGE - Censo Demográfico 2010,N,047,1392.19467222,1392.19467219,160.507938062674
57,57,1084,"Rua Venâncio Ribeiro, nº 475",2,0,Isolada,2011/02/08 00:00:00+00,66,Engenho de Dentro,13,Méier,3.2,Méier,3,176,61,IPP com base em IBGE - Censo Demográfico 2010,N,066,2123.57542412,2123.575424125,202.112465547029
58,58,1083,Rua José Braga,1,2095,Fazenda Mato Alto,2011/02/08 00:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,58,18,IPP com base em IBGE - Censo Demográfico 2010,N,123,2466.6498913,2466.64989129,224.153646405672
59,59,1081,Comunidade do Ecoponto,1,2126,Jardim Nossa Senhora das Graças,2009/05/14 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,112,32,IPP com base em IBGE - Censo Demográfico 2010,N,144,3773.23348499,3773.23348492,249.606712514424
60,60,1078,Avenida do Corretor,2,0,Isolada,2009/05/14 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,474,149,IPP com base em IBGE - Censo Demográfico 2010,N,141,10625.0256994,10625.02569952,1045.27454018862
61,61,1077,Avenida Canal II,2,0,Isolada,2009/05/14 00:00:00+00,157,Maré,30,Maré,3.1,Ramos,3,12,5,IPP com base em IBGE - Censo Demográfico 2010,Maré,157,1836.73650699,1836.73650707,520.573116310616
62,62,1076,Avenida Canal,2,0,Isolada,2009/05/14 00:00:00+00,157,Maré,30,Maré,3.1,Ramos,3,319,105,IBGE - Censo Demográfico 2010,Maré,157,33700.3148704,33700.314480745,2779.3863976043
63,63,1075,Comunidade Vila do Pinheiro,2,0,Isolada,2009/05/14 00:00:00+00,157,Maré,30,Maré,3.1,Ramos,3,388,108,IBGE - Censo Demográfico 2010,Maré,157,49494.3986854,49494.393968665,1981.41454517781
64,64,1074,"Rua São Paulo, nº 114",2,0,Isolada,2009/05/14 00:00:00+00,60,Sampaio,13,Méier,3.2,Méier,3,28,8,IPP com base em IBGE - Censo Demográfico 2010,São João,060,1901.49826641,1901.501553785,353.235587871634
65,65,1073,"Rua Valentim da Fonseca, nº 57",2,0,Isolada,2009/05/14 00:00:00+00,60,Sampaio,13,Méier,3.2,Méier,3,41,13,IPP com base em IBGE - Censo Demográfico 2010,São João,060,6026.81676565,6026.81628476,477.975882121354
66,66,1072,Vila Casarão,2,0,Isolada,2009/05/14 00:00:00+00,57,São Francisco Xavier,13,Méier,3.2,Méier,3,263,93,IPP com base em IBGE - Censo Demográfico 2010,N,057,2446.97157393,2446.971573935,229.070682639144
67,67,1071,Pousada dos Cavalheiros,2,0,Isolada,2009/05/14 00:00:00+00,143,Santíssimo,18,Campo Grande,5.2,Campo Grande,5,67,18,IPP com base em IBGE - Censo Demográfico 2010,N,143,5715.09021683,5715.09021696,333.146508381612
68,68,1070,Recanto dos Pássaros,2,0,Isolada,2009/05/15 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,13,4,IBGE - Censo Demográfico 2010,N,144,4791.97248106,4791.971791625,397.499684639225
69,69,1069,Vila Santa Teresa,1,2071,Parque Criança Esperança,2009/05/13 00:00:00+00,106,Guadalupe,22,Anchieta,3.6,Pavuna,3,159,53,IPP com base em IBGE - Censo Demográfico 2010,N,106,2523.86707245,2523.86707254,273.110969202931
70,70,1067,Drª. Maria Estrela,2,0,Isolada,2009/05/13 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,124,38,IPP com base em IBGE - Censo Demográfico 2010,N,141,4655.56531954,4655.565171165,403.465955729041
71,71,1066,Vila Esperança (RA - Realengo),1,2113,Vila do Vintém,2009/05/13 00:00:00+00,139,Realengo,33,Realengo,5.1,Bangu,5,414,141,IBGE - Censo Demográfico 2010,N,139,15721.2696804,15721.265367715,869.073500820663
72,72,1065,Travessa do Jagunço,1,2074,Araguatins,2009/05/13 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,85,26,IPP com base em IBGE - Censo Demográfico 2010,N,114,2075.27810333,2075.27844947,439.137791625311
73,73,1064,Deus é Vida,1,2071,Parque Criança Esperança,2009/05/13 00:00:00+00,106,Guadalupe,22,Anchieta,3.6,Pavuna,3,229,76,IBGE - Censo Demográfico 2010,N,106,6701.42350714,6701.42350721,744.348041337368
74,74,1063,Vida Nova,2,0,Isolada,2009/05/13 00:00:00+00,111,Acari,25,Pavuna,3.6,Pavuna,3,793,227,IBGE - Censo Demográfico 2010,N,111,43676.3917247,43676.391724425,1151.24009629015
75,75,1061,Barbante (Av. Sargento de Milícias),2,0,Isolada,2009/05/13 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,258,70,IBGE - Censo Demográfico 2010,N,114,4241.31760619,4241.317606255,290.438472044943
76,76,1062,"Rua Embaú, nº 425",1,2079,Parque Unidos,2009/05/13 00:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,84,23,IBGE - Censo Demográfico 2010,N,114,10602.994994,10602.995841145,450.223338494671
77,77,1060,Caninaré,1,2061,Bairro Nossa Senhora das Graças,2009/05/13 00:00:00+00,93,Cacuia,20,Ilha do Governador,3.7,Ilha do Governador,3,426,141,IPP com base em IBGE - Censo Demográfico 2010,N,093,9424.86496297,9424.864962965,547.363882582311
78,78,1059,Vila Porta do Céu,1,2122,Vila Porta do Céu,2009/05/13 00:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,584,187,IBGE - Censo Demográfico 2010,N,141,32401.0201729,32401.020279975,1284.85340451598
79,79,1058,Estrela do Sul,1,2079,Parque Unidos,2009/05/13 00:00:00+00,158,Parque Colúmbia,25,Pavuna,3.6,Pavuna,3,605,194,IBGE - Censo Demográfico 2010,N,158,27333.6730619,27333.673062025,957.387777576473
80,80,1057,Vila Padre Angelo,1,2041,Dois de Maio,2009/03/27 00:00:00+00,61,Engenho Novo,13,Méier,3.2,Méier,3,80,23,IPP com base em IBGE - Censo Demográfico 2010,N,061,1630.6284953,1630.628495265,249.70340531818
81,81,1056,Comunidade da Favelinha,2,0,Isolada,2009/03/27 00:00:00+00,142,Senador Camará,17,Bangu,5.1,Bangu,5,1855,609,IBGE - Censo Demográfico 2010,N,142,139866.042884,139866.0402734,4088.86188320978
82,82,1055,"Rua Álvaro Ramos, nº 535",2,0,Isolada,2009/03/27 00:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,66,23,IPP com base em IBGE - Censo Demográfico 2010,N,020,4018.42855444,4018.428554445,287.613730929129
83,83,1054,"Rua Álvaro Ramos, nº 499",2,0,Isolada,2009/03/27 00:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,132,46,IPP com base em IBGE - Censo Demográfico 2010,N,020,1815.1890998,1815.18909986,264.247562745207
84,84,1053,São Diogo,2,0,Isolada,2009/03/27 00:00:00+00,3,Santo Cristo,1,Portuária,1.1,Centro,1,209,64,IBGE - Censo Demográfico 2010,Providência,003,4765.14515496,4765.14515502,377.779644715382
85,85,1052,Vila do Mexicano,2,0,Isolada,2009/03/27 00:00:00+00,4,Caju,1,Portuária,1.1,Centro,1,326,89,IBGE - Censo Demográfico 2010,Caju,004,9364.95593828,9364.95593825,491.678931279779
86,86,1051,Vila da Paz (RA - Méier),2,0,Isolada,2009/03/27 00:00:00+00,57,São Francisco Xavier,13,Méier,3.2,Méier,3,306,88,IPP com base em IBGE - Censo Demográfico 2010,N,057,5175.62213506,5175.6221351,372.321260685137
87,87,1050,Vila Angela,1,2041,Dois de Maio,2009/03/27 00:00:00+00,61,Engenho Novo,13,Méier,3.2,Méier,3,186,53,IPP com base em IBGE - Censo Demográfico 2010,N,061,3003.14417579,3003.14417575,577.515448475469
88,88,1049,Comunidade do Pedrosa,1,2038,Parque União de Del Castilho,2009/03/27 00:00:00+00,53,Del Castilho,12,Inhaúma,3.4,Inhaúma,3,447,140,IBGE - Censo Demográfico 2010,N,053,13197.1385312,13197.138531295,523.750715319822
89,89,1048,"Rua Jaú, nº 25",2,0,Isolada,2009/03/27 00:00:00+00,62,Lins de Vasconscelos,13,Méier,3.2,Méier,3,229,83,IPP com base em IBGE - Censo Demográfico 2010,N,062,3382.41315158,3382.41315153,278.799431885366
90,90,1047,A. M. São Sebastião,1,2090,Barão,2009/03/27 00:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,69,18,IPP com base em IBGE - Censo Demográfico 2010,N,124,3058.97907794,3058.9790779,221.109473147506
91,91,1044,Vila Taboinha,2,0,Isolada,2009/03/24 00:00:00+00,131,Vargem Grande,24,Barra da Tijuca,4.2,Barra da Tijuca,4,476,158,IBGE - Censo Demográfico 2010,N,131,47049.2694094,47049.26923017,987.448753369893
92,92,1043,"Estrada de Jacarepaguá, nº 6.590",2,0,Isolada,2009/03/24 00:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,108,35,IPP com base em IBGE - Censo Demográfico 2010,N,116,2001.96001643,2001.960016555,200.183204220839
93,93,1039,"Estrada do Catonho, nº14",2,0,Isolada,2009/03/24 00:00:00+00,137,Jardim Sulacap,33,Realengo,5.1,Bangu,5,31,9,IPP com base em IBGE - Censo Demográfico 2010,N,137,5543.06098781,5543.06098782,447.545931820671
94,94,1038,A.M. Amigos dos Teixeiras,2,0,Isolada,2009/03/24 00:00:00+00,139,Realengo,33,Realengo,5.1,Bangu,5,747,240,IPP com base em IBGE - Censo Demográfico 2010,N,139,38020.8122534,38020.81225335,1585.56187044487
95,95,1036,Vista da Pedra,2,0,Isolada,2009/03/24 00:00:00+00,130,Vargem Pequena,24,Barra da Tijuca,4.2,Barra da Tijuca,4,100,39,IPP com base em IBGE - Censo Demográfico 2010,N,130,4041.3613599,4041.3613599,387.843232523544
96,96,1035,"Rua Paulo Roberto Matheus, Lote 7",2,0,Isolada,2009/03/24 00:00:00+00,130,Vargem Pequena,24,Barra da Tijuca,4.2,Barra da Tijuca,4,75,24,IPP com base em IBGE - Censo Demográfico 2010,N,130,8009.83855399,8009.838553945,608.587930887666
97,97,1034,Da Curva,2,0,Isolada,2009/03/24 00:00:00+00,131,Vargem Grande,24,Barra da Tijuca,4.2,Barra da Tijuca,4,83,23,IPP com base em IBGE - Censo Demográfico 2010,N,131,12788.2910893,12788.2910892,879.951088227587
98,98,1033,"Estrada do Tingui, nº 2.370",2,0,Isolada,2009/03/24 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,154,50,IPP com base em IBGE - Censo Demográfico 2010,N,144,3009.59710751,3009.597107575,238.930034220269
99,99,1032,Travessa Dois Irmãos,2,0,Isolada,2009/03/23 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,128,42,IPP com base em IBGE - Censo Demográfico 2010,N,151,7234.38713025,7234.387130265,519.400456821127
100,100,1031,Rua do Sol,1,2125,Jardim Monteiro,2009/03/23 00:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,72,22,IPP com base em IBGE - Censo Demográfico 2010,N,144,5302.31973274,5302.319732755,355.216258971641
101,101,1030,Travessa Poeraba,2,0,Isolada,2009/03/23 00:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,92,24,IPP com base em IBGE - Censo Demográfico 2010,N,146,10104.516662,10104.51666189,479.691011328161
102,102,1029,"Rua Poerada, Lotes 39 e 40",2,0,Isolada,2009/03/23 00:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,154,56,IBGE - Censo Demográfico 2010,N,146,4255.75291947,4255.7529195,310.571691823229
103,103,1028,Flama,1,2135,Linha de Austin,2009/03/16 00:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,476,139,IBGE - Censo Demográfico 2010,N,148,41963.7991874,41963.797815595,2051.41180428647
104,104,1027,Jardim Gramado,1,2135,Linha de Austin,2009/03/16 00:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,1024,302,IBGE - Censo Demográfico 2010,N,148,87852.6282666,87852.627473085,2003.35555630253
105,105,1026,A. M. Mário Larrubia,2,0,Isolada,2009/03/16 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,519,168,IBGE - Censo Demográfico 2010,N,151,29291.6948713,29291.697731185,1539.86282036865
106,106,1025,Manguariba III,2,0,Isolada,2009/03/16 00:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,501,158,IBGE - Censo Demográfico 2010,N,148,44617.7939779,44617.793812225,1353.48286045453
107,107,1024,Renascer,1,2138,Saquaçu,2009/03/16 00:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,570,146,IBGE - Censo Demográfico 2010,N,149,84631.4897813,84631.48751639,3376.18417057704
